ProjectDWID,ProjectID,ProjectName,ProgramGroup,StartDate,ProjectedCompletionDate,Counted Rental Units,Counted Homeownership Units,All Counted Units,TotalProjectUnits,CommercialSquareFootage,BorrowerLegalEntityName,GeneralContractorName,IsDavisBacon,IsSection220NYSLaborLaw
18642,48929,515 West 28th Street,Multifamily Incentives Program,11/26/2013,07/13/2018,0,0,0,375,16198,Kadima Tenth Avenue SPE LLC,T.G Nicket & Associates,No,No
18621,48937,244-246 Elizabeth Street,Multifamily Finance Program,08/13/2013,06/27/2016,0,0,19,19,376,Community Renewal Housing Development Fund Corporation,ICM Global Design,No,No
18849,48940,207 W. 147 St. HDFC,Multifamily Finance Program,06/29/2015,02/28/2020,2,13,15,15,0,207 W 147TH ST H F D C,"Shamas Contracting Co., Inc.",No,No
19065,48973,508 West 134 Street,Multifamily Finance Program,07/02/2015,08/04/2017,0,15,15,15,0,508 West 134th Street LLC,MDG Design & Construction,No,No
18846,48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,12/18/2019,,11,10,21,21,1152,SMJ EV SPONSOR LLC,"TOUCHSTONE BUILDERS, INC.",No,No
18538,49010,TBK609-NAPCO,Multifamily Finance Program,01/10/2013,06/13/2014,0,0,2,2,0,722 Nostrand Avenue Realty LLC,Peter Nakos 7A Administrator Inc,No,No
18644,49026,2501 Hoffman St.,Multifamily Finance Program,12/11/2013,03/17/2017,0,0,25,25,0,2501 Hoffman Properties LLC,GHOTRA AND SONS GENERAL,No,No
18489,49058,Jacquline Denise Davis,Multifamily Finance Program,06/05/2013,09/08/2014,0,0,68,68,0,JDD Court Housing Development Fund Company,"Shamas Contracting Co., Inc.",No,No
18562,49060,MRC Melrose,Multifamily Finance Program,06/05/2013,09/12/2014,0,0,50,50,0,MRC Melrose Housing Development Fund Corporation,"Shamas Contracting Co., Inc.",No,No
18624,49067,530 E. 159 St.,Multifamily Finance Program,05/17/2013,10/25/2018,0,0,44,44,0,530 E. 159 Street Housing Development Fund Corporation,"Maximum Mechanical, LLC",No,No
18577,49070,Broadway Putnam,Multifamily Finance Program,06/26/2013,06/02/2016,0,0,47,47,0,Broadway/Putnam. L.P.,MDG Design & Construction,No,No
18500,49103,1479 Macombs Road,Multifamily Finance Program,06/27/2013,06/10/2015,0,0,72,72,0,1479 Macombs Road LLC,HOMEBUILDERS I L P,No,No
18594,49143,Hunters Point South: Parcel B,Multifamily Finance Program,02/14/2013,03/18/2016,0,0,306,306,2937,HPS Borden Avenue Associates LLC,Monadnock Construction,No,No
18851,49147,21 ARDEN STREET,Multifamily Finance Program,01/17/2019,02/04/2022,0,15,15,15,0,NMIC ARDEN HOUSING DEVELOPMENT FUND CORPORATION,Lemle & Wolff Construction Corp,No,No
19164,49171,Albert Goodman,Multifamily Finance Program,12/19/2013,07/31/2015,0,0,252,252,0,Albert Goodman Housing Development Fund Corporation,Albert Goodman Preservation Builders LLC,No,No
19584,49172,UP. 316 East 162nd St.,Multifamily Finance Program,06/26/2014,12/13/2016,86,0,86,86,0,"316 East 162 Houses, L.P.",Lemle & Wolff,Yes,No
18657,49173,West End. 2808 Jerome Ave. True Colors 2,Multifamily Finance Program,12/30/2013,09/21/2015,0,0,31,31,0,True Colors Bronx HDFC,DP Group,Yes,No
18662,49248,CONFIDENTIAL,Multifamily Finance Program,12/30/2013,04/25/2016,0,0,,39,0,2017 Morris Avenue HDFC,CREATIVE INTERIORS PLUS LLC,No,No
18474,49270,257 West 29th Street Supportive Housing,Multifamily Incentives Program,06/04/2013,06/21/2017,0,0,37,37,0,West of Seventh Limited Partnership,Chateau GC LLC,No,No
18560,49272,200 East 39th Street,Multifamily Incentives Program,09/26/2013,01/22/2016,0,0,0,91,6365,CB Frontier LLC,CM & Associates,No,No
18570,49273,Frost Street Apartments,Multifamily Incentives Program,03/21/2013,07/24/2015,0,0,0,47,0,Frost Street Apartments LLC,HLS Builders Corp,No,No
18492,49275,Ocean Towers Partners LLC,Multifamily Finance Program,06/20/2013,01/19/2016,0,0,360,360,0,Ocean Towers Partners LLC,Stateside Construction LLC,No,No
18623,49276,301 West 46th Street,Multifamily Finance Program,05/20/2013,10/03/2017,0,0,12,12,3666,301 West 46 Owners LLC,"Pineapple Development LLC, c/o Wrobel & Schatz LLP",No,No
18534,49281,JAMAICA,Multifamily Finance Program,07/12/2013,06/23/2017,0,0,22,22,0,MHANY 2002 HDFC,PROJECT EYE CONSULTANTS INC,No,No
18549,49285,327-331 East Houston Street,Multifamily Incentives Program,09/09/2013,05/03/2016,0,0,0,78,0,"East Houston Development, LLC",Joy Construction Corp.,No,No
18652,49338,COMPASS RESIDENCES 1B,Multifamily Finance Program,12/23/2013,03/15/2017,0,0,127,127,3174,Compass One B LLC,Monadnock Construction,No,No
18761,49358,153 Manhattan Avenue HDFC,Multifamily Finance Program,01/13/2015,05/13/2019,0,0,,64,1442,153 Manhattan Avenue Housing Development Fund Corporation,"Ghotra and Sons General Construction, Inc",No,No
18636,49391,855 Avenue Of The Americas,Multifamily Incentives Program,12/05/2013,11/28/2017,0,0,0,375,15849,855 MRU LLC,Gotham Construction,No,No
18821,49418,1850 Second Ave,Multifamily Finance Program,04/20/2016,,0,0,,49,2000,1850 Second Ave Services Corporation,DEAN BUILDERS GROUP INC,No,No
19555,49445,TMN903 - Lemle & Wolff,Multifamily Finance Program,12/30/2015,09/05/2018,92,0,92,92,1200,FOUR CORNICE PROPERTIES LLC,Lemle & Wolff Construction Corp,No,No
18536,49455,TMN209D-Settlement Housing,Multifamily Finance Program,06/28/2013,01/20/2017,0,0,20,20,0,287 HDFC,FG-PH Corporation,No,No
18546,49481,3361 3rd Avenue,Multifamily Finance Program,08/14/2013,10/26/2015,0,0,63,63,0,3361 Third Avenue HDFC,Strategic Construction Corp,Yes,No
19135,49501,847 Fox Street,Multifamily Finance Program,08/06/2015,07/18/2017,0,8,8,8,0,FOX STREET DEVELOPMENT HOUSING,FG-PH Corporation,No,No
18485,49517,Webster Commons Building B,Multifamily Finance Program,06/27/2013,08/02/2016,0,0,95,95,0,Webster Building B LLC,Joy Construction Corp.,No,No
19388,49533,LINDSAY PARK.HRP.FY18,Multifamily Finance Program,11/26/2018,,0,2709,2709,2709,38000,LINDSAY PARK HOUSING CORP.,XINOS CONSTRUCTION CORP,No,No
18598,49534,Mother Arnetta Crawford Housing,Multifamily Finance Program,06/27/2013,07/27/2015,0,0,84,84,0,Union Grove Associates II LLC,MacQuesten Construction Management,No,No
19185,49544,BRC. 330 EAST 4TH ST. CLYDE BURTON,Multifamily Finance Program,08/08/2014,09/21/2021,33,0,33,33,0,330 EAST FOURTH STREET HOUSING,Interior Construction Corporation,No,No
18802,49562,1711 Davidson HDFC,Multifamily Finance Program,02/06/2015,06/21/2018,39,47,86,86,0,1711 Davidson Ave HDFC,Heat Inc,No,No
18495,49569,AK Houses 2013,Multifamily Finance Program,06/27/2013,,157,0,157,157,0,AK Houses TP4 LLC,NO GENERAL CONTRACTOR,No,No
19392,49570,Louis T. Wright,Multifamily Finance Program,07/01/2015,04/19/2019,0,0,,9,0,LOUIS T WRIGHT HOUSING DEVELOPMENT,CC TECHNICAL CONTRACTING CORP,No,No
18573,49575,1016 Washington Avenue,Multifamily Incentives Program,06/27/2013,06/22/2016,0,0,65,65,0,1016 Washington Avenue Associates LLC,Joy Construction Corp.,No,No
18572,49576,3629 White Plains Road,Multifamily Incentives Program,06/27/2013,06/01/2016,0,0,69,69,0,White Plains North L.P.,Chateau GC LLC,No,No
19430,49588,My Micro NY fka Adapt NYC/Micro Units,Multifamily Finance Program,02/26/2014,04/15/2016,23,0,23,55,678,1 MCP LLC,Monadnock Construction,No,No
18772,49607,1561 WALTON AVENUE,Multifamily Finance Program,06/30/2015,11/15/2017,60,0,60,60,0,1561 ASSOCIATES LLC,L RISO &amp; SONS CO INC,No,No
19306,49625,East 138 Street,Multifamily Finance Program,06/30/2015,04/11/2019,96,0,96,96,13962,EAST 138TH STREET LLC,Lettire Construction,No,No
18493,49628,1775 Houses 2013,Multifamily Finance Program,06/27/2013,,255,0,255,255,6000,"1775 TP4 HOUSING DEVELOPMENT FUND COMPANY, INC.",NO GENERAL CONTRACTOR,No,No
19343,49635,Habitat-NYC Single Family Homes Phase I,Small Homes Program,12/31/2015,05/31/2016,0,13,13,13,0,HABITAT FOR HUMANITY HOUSING,PROJECT EYE CONSULTANTS INC,No,No
18986,49657,320 Sterling II,Multifamily Finance Program,06/26/2013,,0,0,0,0,0,320 Sterling Owner Llc,MDG Design & Construction,No,No
18660,49690,160 Madison Avenue,Multifamily Incentives Program,12/05/2013,12/04/2015,0,0,0,319,28200,160 Madison Avenue LLC,M.D. Carlisle Construction Corp.,No,No
18663,49706,149 Kent Avenue,Multifamily Incentives Program,12/20/2013,02/01/2017,0,0,0,164,18358,Kent & Wythe Owners LLLC,CONGRESS BUILDERS LLC,No,No
19520,49713,SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA,Multifamily Finance Program,12/19/2019,06/30/2022,95,0,95,95,0,NEW ROADS PLAZA OWNER LLC,"MONADNOCK CONSTRUCTION, INC.",No,No
19317,49716,FSG DEVELOPMENT FCM - FSG REALTY LLC,Multifamily Finance Program,10/06/2016,05/25/2022,88,0,88,88,2267,SHERMAN HOLDINGS USA LLC,NOTIAS CONSTRUCTION INC,No,No
19390,49722,Livonia Commons,Multifamily Finance Program,01/15/2014,04/25/2016,278,0,278,278,14490,"Livonia Commons , L.P.",L & M Builders,No,No
19076,49908,546 West 44th Street,Multifamily Incentives Program,06/26/2014,07/14/2017,62,0,62,280,0,"CREF 546 West 44th Street, LLC","Hudson Meridian Construction Group, LLC",No,No
18455,49909,CONFIDENTIAL,Homeowner Assistance Program,05/02/2013,04/24/2014,0,0,1,0,0,RUN LLC,Horizion Construction,No,No
19338,49938,Greenpoint Landing E3,Multifamily Finance Program,12/23/2014,05/09/2017,98,0,98,98,1708,E3 Owner LLC,L & M Builders,No,No
19339,49943,GREENPOINT LANDING G2,Multifamily Incentives Program,06/30/2014,01/24/2017,92,0,92,93,3194,G LAMP Owner LLC,L & M Builders,No,No
19377,49959,L&M HCCI 260 W 153RD STREET,Multifamily Finance Program,09/09/2014,06/22/2016,51,0,51,51,0,West 153 Owner LLC,L & M Builders,No,No
19503,50026,SUS. 1674 Broadway and 768 Decatur. Henry Apts.,Multifamily Finance Program,12/31/2014,03/17/2017,134,0,134,134,12386,Broadway Decatur Owners LLC,"Mega Contracting, Inc.",Yes,No
19375,50059,Kings Villas - St. Nicks,Multifamily Finance Program,02/26/2015,05/17/2017,39,0,39,39,1010,Kings Villas LLC,"Apex Building Company, Inc",No,No
19133,50088,810 River,Multifamily Finance Program,06/26/2014,06/18/2018,134,0,134,134,27858,810 River Partners LLC,"M. Melnick & Co., Inc.",No,No
18819,50104,Crotona Terrace I aka 1825 Boston Road,Multifamily Finance Program,10/02/2014,10/28/2016,80,0,80,80,15292,Crotona Terrace Building A LLC,Joy Construction Corp.,No,No
19334,50131,Grand & Rogers Cluster - JGV,Multifamily Finance Program,06/29/2015,08/28/2019,87,0,87,87,0,Grand & Rogers Group L.P.,US Tech Construction Corp,No,No
19558,50132,TMN906 - NMIC,Multifamily Finance Program,06/23/2016,05/28/2019,21,0,21,21,1200,618 WEST 187TH STREET HOUSING,Lemle & Wolff Construction Corp,No,No
18651,50156,COMPASS RESIDENCES 1A,Multifamily Finance Program,12/23/2013,03/15/2017,0,0,110,110,1758,Compass One A LLC,Monadnock Construction,No,No
19004,50157,346 Bergen Street,Small Homes Program,06/30/2016,08/17/2020,24,0,24,24,0,WHRF Bergen Street LLC,BUILDERS-R-US CONSTRUCTION CORP,No,No
18658,50181,205 EAST 92ND STREET,Multifamily Incentives Program,12/23/2013,10/07/2016,0,0,0,231,33935,"92nd and 3rd Associates, L.L.C.",Monadnock Construction,No,No
19542,50184,STRIVERS PLAZA II,Multifamily Finance Program,12/18/2014,07/13/2017,117,0,117,117,0,Greater Harlem Housing Development Corporation,Almo Group Corp,No,No
19413,50186,Marshall Court HDFC,Multifamily Finance Program,08/26/2014,08/31/2015,0,0,,48,0,Marshall Court HDFC,"Shamas Contracting Co., Inc.",No,No
19440,50193,Nelson Luquer,Multifamily Finance Program,06/13/2014,08/13/2015,44,0,44,44,0,Nelson Luquer HDFC,"Shamas Contracting Co., Inc.",No,No
19213,50196,Belmont Venezia,Multifamily Finance Program,01/22/2014,04/13/2015,180,0,180,180,0,2476 BCH Owners LLC,"POKO Core Builders, LLC",No,No
19291,50200,DOE. 1420 CROTONA PARK EAST,Multifamily Finance Program,03/26/2015,12/13/2016,60,0,60,60,0,CROTONA PARK HOUSING DEVELOPMENT,L RISO &amp; SONS CO INC,Yes,No
19022,50201,LOS SURES 383 HEWES STREET HDFC,Multifamily Finance Program,03/06/2015,11/09/2016,22,0,22,22,2335,Los Sures 383 Hewes Street HDFC,FG-PH Corporation,No,No
18839,50204,201-207 7TH AVENUE (ANCP),Multifamily Finance Program,06/30/2022,,0,26,26,26,3450,GOLDSTEIN HALL PLLC,A.A.D. CONSTRUCTION CORP.,No,No
18656,50205,Bronx Pro Gazivoda Phase 1,Multifamily Finance Program,12/23/2013,07/13/2016,0,0,269,269,0,G&M Realty l LLC,HOMEBUILDERS I L P,No,No
19460,50206,Park Monroe II,Multifamily Finance Program,02/26/2015,08/07/2017,214,0,214,214,1765,Park Monroe II LLC,MDG Design & Construction,No,No
19395,50207,MHANY East NY Partnership,Multifamily Finance Program,06/19/2014,01/20/2016,59,0,59,59,0,MHANY 2011 Housing Development Fund Corporation,PROJECT EYE CONSULTANTS INC,No,No
19242,50223,CENTRAL HARLEM HDFC&270 ROCHESTER AVEHDFC,Multifamily Finance Program,06/30/2015,10/17/2018,93,0,93,93,6092,Central Harlem Mutual Housing Association HDFC,"Erin Construction and Development Co., Inc",No,No
19393,50248,MHANY 2,Multifamily Finance Program,06/18/2014,11/21/2019,77,0,77,77,0,MHANY 2002 HDFC,"Atlas Builders, LLC",No,No
19442,50258,New Walton,Multifamily Finance Program,06/19/2014,10/26/2015,85,0,85,85,0,Two Waltons Housing Development Fund Corporation,"Shamas Contracting Co., Inc.",No,No
19471,50278,Promesa Housing Development Fund Corporation,Multifamily Finance Program,06/24/2014,05/17/2019,0,139,139,139,0,Promesa HDFC,Expo Development Corp.,No,No
19515,50282,Selfhelp. 6469 Broadway. Van Courtlandt Green,Multifamily Finance Program,06/26/2014,04/20/2016,86,0,86,86,4553,"6469 Broadway Selfhelp, LLC",Lettire Construction,No,No
19296,50291,E. H. C. C. I. / LA FORTALEZA HDFC,Multifamily Finance Program,06/30/2014,06/04/2015,10,0,10,10,0,E.H.C.C.I / La Fortaleza,AAD Construction Corp,No,No
19190,50293,Belle Apartments HDFC,Multifamily Finance Program,06/22/2015,02/13/2018,21,0,21,21,0,Belle Apartments HDFC,"Shamas Contracting Co., Inc.",No,No
19411,50294,Margarita Santos Apartments HDFC,Multifamily Finance Program,06/05/2014,02/07/2017,31,0,31,31,0,Margarita Santos Apartments HDFC,"Shamas Contracting Co., Inc.",No,No
18659,50329,424 West 55h Street,Multifamily Incentives Program,12/30/2013,11/03/2016,0,0,17,17,0,West of Ninth Limited Partnership,Chateau GC LLC,No,No
19091,50330,626 First Avenue,Multifamily Incentives Program,06/18/2014,07/03/2018,160,0,160,761,3024,616 First Avenue LLC,JDS Construction Group LLC,No,No
18887,50347,"LIND RIC HOUSING CO., INC.",Multifamily Finance Program,06/26/2017,,1,171,172,172,1384,LIND-RIC HOUSING CO INC,XINOS CONSTRUCTION CORP,No,No
19233,50352,Burnside Associates,Multifamily Finance Program,06/19/2014,04/17/2018,119,0,119,119,0,Burnside Housing Development Fund Corporation,Shaker Contracting,No,No
19423,50353,Webster Ryer (aka Mid-Webster Renewal),Multifamily Finance Program,06/18/2014,02/19/2016,68,0,68,68,0,Webster Ryer Housing Development Fund Corporation,"Shamas Contracting Co., Inc.",No,No
19344,50370,Halle Housing Associates,Multifamily Finance Program,06/30/2014,06/22/2017,202,0,202,202,0,Muhlenberg Community Housing Development Corporation In,"Shamas Contracting Co., Inc.",No,No
19528,50390,St Barnabas Housing For The Elderly,Multifamily Incentives Program,06/24/2014,06/24/2014,91,0,91,91,0,"St. Barnabas Housing Development Fund Company, Inc.",Heat Inc,No,No
18653,50407,East New York Resyndication (BRP),Multifamily Finance Program,12/27/2013,08/24/2016,0,0,468,468,0,ENY Development LLC,BRP Construction Group LLC,No,No
18994,50408,333 E 209TH STREET,Multifamily Finance Program,06/26/2014,02/29/2016,0,43,43,43,0,333-35 EAST 209 HOUSING DEVELOPMENT FUND CORPORATION,Heat Inc,No,No
19235,50410,CAMBA. 331 Saratoga Ave. Bergen Saratoga,Multifamily Finance Program,06/03/2014,10/21/2016,80,0,80,80,0,Bergen Saratoga L.P,DP Group General Contractors Developers Inc,No,No
19380,50411,LPC WAREHOUSE/ WILLIAMSBURG BRIDGEVIEW,Multifamily Finance Program,06/29/2016,04/04/2019,55,0,55,55,4104,LPC DEVELOPMENT GROUP LLC,Procida Construction,No,No
19281,50414,Daly IV HDFC,Multifamily Incentives Program,12/16/2013,,0,0,0,273,4351,DALY IV HDFC,CDC Construction Corporation of New York,No,No
19527,50424,SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,10/19/2016,03/27/2018,0,19,19,19,0,RESTORING URBAN NEIGHBORHOODS LLC,Prisma Construction Inc,No,No
19568,50473,The Bedford,Multifamily Incentives Program,03/28/2014,05/23/2019,12,0,12,60,9805,Bedford-Webster LLC,Joy Construction Corp.,No,No
19239,50495,Calvary.112-02 Guy Brewer Boulevard,Multifamily Finance Program,08/01/2014,06/15/2016,53,0,53,53,0,"Calvary Grandparent Residence, LLC",D & F DEVELOPMENT XVIII LLC,No,No
19098,50497,655 Morris Avenue,Multifamily Finance Program,06/26/2014,12/01/2016,176,0,176,176,9481,"Morris Avenue Housing Development Fund Company, Inc.",Monadnock Construction,No,No
18896,50509,2605 Grand Concourse,Multifamily Finance Program,12/23/2015,10/16/2018,94,0,94,94,0,2605 GC OWNER LLC,J E LEVINE BUILDER INC,No,No
19480,50519,Randolph Houses Phase II,Multifamily Finance Program,06/29/2016,06/20/2018,115,0,115,115,0,TRINITY WEST HARLEM PHASE TWO,"Mega Contracting, Inc.",No,No
18732,50568,CONFIDENTIAL,Homeowner Assistance Program,09/25/2013,05/23/2014,0,0,1,0,0,RUN LLC,EMPIREHD INC,No,No
18815,50580,180 Saint Nicholas Avenue HDFC,Multifamily Finance Program,06/24/2014,10/25/2017,0,21,21,21,0,180 St Nicholas HDFC,"Shamas Contracting Co., Inc.",No,No
19514,50583,SECOND ATLANTIC TERMINAL HOUSING CORPORATION,Multifamily Finance Program,06/26/2014,06/29/2017,0,305,305,305,0,Second Atlantic Terminal Housing Corporation,NO GENERAL CONTRACTOR,No,No
18630,50602,POP. Caring Communities,Multifamily Finance Program,11/21/2013,06/01/2016,0,0,83,236,0,Caring Supported Housing LLC,MDG Design & Construction,No,No
19324,50605,Fulton Plaza HDFC,Multifamily Finance Program,08/28/2014,02/25/2016,0,0,,40,0,Fulton Plaza Housing Development Fund Corporation,"Shamas Contracting Co., Inc.",No,No
19401,50606,MRC-754 E. 161 St. HDFC,Multifamily Finance Program,08/26/2014,06/26/2015,0,0,,81,0,MRC-754 East 161 St.reet Housing Development Fund Corporation,"Shamas Contracting Co., Inc.",No,No
18694,50609,1095 Bushwick Ave HDFC,Multifamily Finance Program,06/26/2014,10/23/2020,5,10,15,15,0,1095 Bushwick Avenue HDFC,Avante Contracting Corp.,No,No
18995,50611,334 BEACH 54TH STREET,Sandy Program,10/29/2013,10/12/2016,0,0,,32,0,"Beach Street II, LP",M & E Electrical Contracting,Yes,No
19148,50623,95-01 ROCKAWAY BEACH BLVD,Sandy Program,10/29/2013,01/21/2016,0,0,,72,4628,"9501 Co, LLC",Universal Contracting of NY Corp,Yes,No
19290,50638,Doe.1345 Rogers Ave,Multifamily Finance Program,12/24/2015,01/10/2020,123,0,123,123,0,ROGERS APARTMENTS LLC,"M. Melnick & Co., Inc.",Yes,No
19105,50655,695 GRAND STREET,Multifamily Finance Program,12/22/2015,03/28/2019,51,0,51,51,11739,695 GRAND STREET LLC,Galaxy,No,No
18925,50675,2800 COYLE - SANDY RECOVERY,Sandy Program,02/25/2016,06/12/2017,0,0,,157,0,A A D CONSTRUCTION CORP,A A D CONSTRUCTION CORP,Yes,No
18903,50677,2650 OCEAN PARKWAY,Sandy Program,12/09/2014,09/27/2017,0,0,,190,0,Ocean Terrace Owners Inc.,"Shamas Contracting Co., Inc.",Yes,No
18904,50735,2654 EAST 23RD STREET BROOKLYN,Sandy Program,10/30/2015,04/20/2017,0,0,,16,0,Prisma Construction Inc,Prisma Construction Inc,Yes,No
18933,50741,2817 WEST 20TH STREET BROOKLYN,Sandy Program,06/29/2015,04/21/2017,0,0,,5,0,KONSTANT KONSTRUCTION CORP,KONSTANT KONSTRUCTION CORP,No,No
18971,50744,3038 BRIGHTON 14 STREET BROOKLYN,Sandy Program,02/11/2015,05/13/2015,0,0,,5,0,3048 Brighton LLC,EMPIREHD INC,No,No
18824,50753,191 NEPTUNE AVE BROOKLYN,Sandy Program,06/10/2015,04/20/2017,0,0,,5,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,No,No
18750,50774,"148 BEACH 94 STREET, QUEENS",Sandy Program,05/18/2016,05/18/2017,0,0,,7,0,Horizon Construction,Horizon Construction,No,No
18968,50777,"3031 BRIGHTON 14 STREET, BROOKLYN",Sandy Program,12/02/2016,12/20/2017,0,0,,47,0,EMPIREHD,"EMPIREHD, INC.",Yes,No
18999,50778,"3411 GUIDER AVENUE, BROOKLYN",Sandy Program,12/17/2015,09/16/2016,0,0,,6,0,EMPIREHD INC,EMPIREHD INC,No,No
18965,50788,"303 EAST 8TH STREET, MANHATTAN",Sandy Program,07/15/2015,11/19/2019,0,0,,13,0,A.A.D. CONSTRUCTION CORP.,A A D CONSTRUCTION CORP,Yes,No
18867,50793,"217 EAST 7 STREET, MANHATTAN",Sandy Program,09/18/2015,04/01/2016,0,0,,16,0,"EMPIREHD, INC.",EMPIREHD INC,Yes,No
18792,50795,"165-167-169 Avenue C, Manhattan",Sandy Program,06/26/2015,02/17/2016,0,0,,24,3000,"EMPIREHD, INC.",EMPIREHD INC,Yes,No
19113,50801,77 AVENUE C MANHATTAN,Sandy Program,03/30/2017,07/24/2018,0,0,,16,1030,NEW HO XIN DEVELOPMENT INC,NEW HO XIN DEVELOPMENT INC,Yes,No
18738,50804,134-136 AVENUE C MANHATTAN,Sandy Program,09/30/2015,05/23/2017,0,0,,22,0,EMPIREHD INC,EMPIREHD INC,Yes,No
19024,50805,391 EAST 10TH STREET MANHATTAN,Sandy Program,09/30/2015,05/23/2017,0,0,,7,0,EMPIREHD INC,EMPIREHD INC,No,No
18990,50806,327 EAST 8TH STREET MANHATTAN,Sandy Program,09/30/2015,05/23/2017,0,0,,12,0,"EMPIREHD, INC.",EMPIREHD INC,Yes,No
18800,50807,171 AVENUE B MANHATTAN,Sandy Program,05/14/2015,02/24/2016,0,0,,9,993,"EMPIREHD, INC.",EMPIREHD INC,Yes,No
18868,50808,218 EAST 7TH STREET MANHATTAN,Sandy Program,09/30/2015,05/23/2017,0,0,,5,0,EMPIREHD INC,EMPIREHD INC,No,No
19422,50813,METRO EAST 99TH STREET,Sandy Program,05/01/2014,04/07/2015,0,0,,176,0,METRO EAST 99 STREET LLC,Procida Construction,Yes,No
18847,50815,BUCKINGHAM - 2044 RICHMOND TERR - RESILIENCY,Multifamily Finance Program,07/11/2018,11/10/2021,36,0,36,36,0,CHV BUCKINGHAM HDFC,HORIZON CONSTRUCTION INC.,Yes,No
19068,50818,FLEMISTER HOUSE - RESILIENCY,Sandy Program,08/29/2017,02/08/2021,0,0,,50,0,THE SWEET CONSTRUCTION GROUP,THE SWEET CONSTRUCTION GROUP,Yes,No
18798,50819,169 AVENUE B MANHATTAN,Sandy Program,05/14/2015,02/24/2016,0,0,,9,1000,EMPIREHD INC,EMPIREHD INC,Yes,No
18997,50820,334 EAST 8 STREET MANHATTAN,Sandy Program,09/30/2015,01/30/2018,0,0,,30,0,EMPIREHD INC,EMPIREHD INC,Yes,No
18807,50821,173 AVENUE B MANHATTAN,Sandy Program,09/30/2015,05/23/2017,0,0,,9,1079,EMPIREHD INC,EMPIREHD INC,Yes,No
18991,50837,330 SPRING STREET,Sandy Program,12/28/2016,09/05/2019,0,0,,40,6766,HORIZON CONSTRUCTION INC,HORIZON CONSTRUCTION INC.,Yes,No
19171,50847,BCDHC 138-11 BEACH CHANNEL DRIVE,Sandy Program,01/27/2017,12/10/2018,0,0,,41,0,"EMPIREHD, INC.",EMPIREHD,Yes,No
18790,50866,"166 BEACH 123RD STREET, QUEENS",Sandy Program,06/11/2015,04/20/2017,0,0,,6,0,"EMPIREHD, INC.",EMPIREHD INC,No,No
19510,50868,SEAVIEW ESTATES,Sandy Program,02/23/2017,04/01/2019,0,0,,223,0,HORIZON CONSTRUCTION INC,HORIZON CONSTRUCTION INC.,Yes,No
19041,50869,"431 Beach 122nd Street, Queens",Sandy Program,06/21/2016,03/08/2017,0,0,,5,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,No,No
18701,50895,112-22 ROCKAWAY BEACH BLVD,Sandy Program,09/16/2016,07/18/2017,0,0,,23,300,NS CONSTRUCTION LLC,NS CONSTRUCTION LLC,Yes,No
19206,50902,BELLE SHORES 180 BEACH 101 STREET,Sandy Program,12/19/2017,01/29/2020,0,0,,78,0,A.A.D. CONSTRUCTION CORP.,A.A.D. CONSTRUCTION CORP,Yes,No
18749,50933,147 BEACH 59 STREET QUEENS,Sandy Program,06/07/2017,09/02/2020,0,0,,11,0,"EMPIREHD, INC.",EMPIREHD,Yes,No
18740,50938,1347 BRISTOW ST,Multifamily Finance Program,11/18/2015,03/13/2017,13,10,23,23,0,1347 Bristow Street Housing Development Fund Corporation,GREEN LINE CONSTRUCTION USA INC,No,No
19269,50942,Creston-Burnside,Multifamily Finance Program,06/29/2015,02/27/2019,114,0,114,114,11234,2030 CRESTON AVE LLC,MacQuesten Construction Management,No,No
18748,50959,"145 BEACH 92ND STREET, QUEENS",Sandy Program,12/17/2015,03/31/2020,0,0,,5,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,No,No
19450,50996,OCEANA - SANDY RECOVERY,Sandy Program,03/01/2016,06/23/2017,0,0,,112,0,HORIZON CONSTRUCTION INC,Horizon Construction,Yes,No
18910,51023,2727 Ocean Parkway,Sandy Program,08/22/2014,08/22/2016,0,0,,174,400,Lincoln Shores Owners Inc,US Tech Construction Corp,Yes,No
18764,51031,"155 AVENUE C, MANHATTAN",Sandy Program,05/21/2015,09/11/2015,0,0,,16,1000,EMPIREHD INC,EMPIREHD INC,Yes,No
18712,51035,"117-17 NEWPORT AVENUE, QUEENS",Sandy Program,12/09/2015,05/11/2016,0,0,,6,0,EMPIREHD INC,EMPIREHD INC,Yes,No
18978,51047,"3099 BRIGHTON 6 STREET, BROOKLYN",Sandy Program,03/19/2018,,0,0,,96,0,CERUMIDY REALTY INC,"NOKAJ CONSTRUCTION GROUP, INC.",Yes,No
18881,51051,2330 Voorhies Avenue- Repair,Sandy Program,07/16/2015,12/12/2017,0,0,,105,0,EMPIRE COMMERCIAL CORP,EMPIRE COMMERCIAL CORP,Yes,No
18888,51052,"248-252 EAST 7 STREET, MANHATTAN",Sandy Program,10/02/2015,11/02/2016,0,0,,12,0,"EMPIREHD, INC.",EMPIREHD INC,Yes,No
