ProjectID,BuildingID,AffordabilityBand,TotalUnits
51751,122026,Extremely Low Income,28
51751,122026,Other,1
51778,955507,Extremely Low Income,20
51778,955507,Low Income,197
51778,955507,Other,1
51778,955507,Very Low Income,30
51779,911614,Moderate Income,50
51779,911614,Other,1
51779,911614,Very Low Income,13
51812,861876,Not Defined,3
51812,861875,Not Defined,3
51867,927152,Low Income,24
51867,927152,Middle Income,38
51867,927152,Other,1
51867,927152,Very Low Income,16
51868,977499,Extremely Low Income,80
51868,977499,Low Income,120
51868,977499,Middle Income,80
51868,977499,Other,1
51868,977499,Very Low Income,119
51939,243771,Not Defined,9
51950,367956,Low Income,1
51950,595312,Low Income,1
51950,589736,Low Income,1
51950,690769,Low Income,1
51950,611866,Low Income,1
51950,591716,Low Income,1
51950,536580,Low Income,1
51950,543689,Low Income,1
51950,561639,Low Income,1
51950,679081,Low Income,1
51950,544663,Low Income,1
51950,572104,Low Income,1
51950,281922,Low Income,1
51950,324387,Low Income,1
51950,610826,Low Income,1
51950,550818,Low Income,1
51950,549840,Low Income,1
51950,583620,Low Income,1
51950,597082,Low Income,1
51950,532932,Low Income,1
51990,394979,Not Defined,5
52000,110423,Low Income,38
52000,110423,Moderate Income,5
52000,110423,Very Low Income,3
52021,110217,Other,1
52021,110217,Very Low Income,48
52022,87500,Very Low Income,51
52056,118501,Low Income,26
52056,65995,Low Income,44
52056,118505,Low Income,44
52056,118499,Low Income,24
52056,118494,Low Income,38
52056,118496,Low Income,27
52056,65993,Low Income,18
52056,96830,Low Income,40
52056,96824,Low Income,15
52056,96827,Low Income,54
52083,967329,Low Income,53
52083,967329,Middle Income,28
52083,967329,Moderate Income,17
52083,967329,Not Applicable,106
52083,967329,Other,1
52083,967329,Very Low Income,6
52119,990448,Extremely Low Income,6
52119,990448,Low Income,24
52119,990448,Other,1
52119,990448,Very Low Income,29
52122,972598,Low Income,47
52122,972598,Middle Income,27
52122,972598,Moderate Income,18
52122,972598,Not Applicable,96
52122,972598,Other,1
52122,972598,Very Low Income,6
52202,811201,Not Defined,57
52202,811202,Not Defined,57
52202,811199,Not Defined,57
52202,811198,Not Defined,57
52202,632850,Not Defined,57
52202,811200,Not Defined,57
52223,954207,Extremely Low Income,89
52223,954207,Low Income,1
52349,24188,Low Income,50
52396,965076,Low Income,129
52396,965076,Moderate Income,126
52396,965076,Other,1
52405,186854,Low Income,14
52405,186854,Moderate Income,4
52405,186854,Other,1
52405,186854,Very Low Income,1
52415,965693,Extremely Low Income,42
52415,965693,Low Income,12
52415,965693,Other,1
52415,965693,Very Low Income,14
52435,969128,Low Income,79
52435,969128,Other,1
52435,969128,Very Low Income,20
52461,28287,Extremely Low Income,7
52461,28287,Low Income,12
52461,28287,Other,1
52461,28287,Very Low Income,36
52467,921886,Extremely Low Income,138
52467,921886,Other,2
52467,955101,Extremely Low Income,57
52539,40896,Middle Income,2
52597,955365,Extremely Low Income,48
52610,950310,Low Income,123
52610,950310,Moderate Income,40
52646,989356,Extremely Low Income,90
52646,989356,Low Income,80
52646,989356,Other,1
52656,958170,Extremely Low Income,75
52656,958170,Low Income,25
52656,958170,Other,1
52661,956798,Low Income,132
52661,956798,Other,1
52661,956798,Very Low Income,19
52662,92487,Low Income,11
52662,92487,Middle Income,7
52662,92487,Other,1
52662,92487,Very Low Income,6
52662,90958,Low Income,48
52662,90958,Middle Income,20
52662,90958,Other,1
52662,90958,Very Low Income,4
52662,92486,Low Income,14
52662,92486,Middle Income,5
52662,92486,Very Low Income,6
52662,92484,Low Income,17
52662,92484,Middle Income,6
52662,92484,Other,1
52662,92484,Very Low Income,2
52665,234701,Low Income,21
52666,970691,Middle Income,42
52666,970691,Other,1
52666,970691,Very Low Income,11
52667,955526,Low Income,45
52667,955526,Other,1
52667,955526,Very Low Income,12
52674,4060,Low Income,8
52674,4060,Other,1
52674,41105,Low Income,19
52674,41105,Very Low Income,5
52674,40974,Low Income,7
52674,40974,Very Low Income,3
52674,40053,Low Income,4
52674,40339,Low Income,21
52674,40339,Other,1
52674,40339,Very Low Income,3
52674,40976,Low Income,9
52674,40976,Very Low Income,1
52674,40979,Low Income,14
52674,40979,Very Low Income,5
52674,39869,Low Income,15
52674,39869,Very Low Income,3
52674,28111,Low Income,10
52674,23590,Low Income,8
52674,4055,Low Income,9
52674,40379,Low Income,3
52674,40379,Very Low Income,1
52674,40956,Low Income,10
52674,40380,Low Income,4
52674,40957,Low Income,14
52674,40957,Other,1
52674,40957,Very Low Income,2
52674,39782,Low Income,24
52674,40350,Low Income,8
52674,40049,Low Income,29
52674,2660,Low Income,26
52674,2660,Other,1
52674,40378,Low Income,4
52674,4067,Low Income,13
52674,4067,Very Low Income,1
52674,40055,Low Income,4
52674,41124,Low Income,9
52674,41124,Very Low Income,2
52674,40978,Low Income,9
52674,40978,Very Low Income,1
52674,39807,Low Income,23
52674,39807,Other,1
52674,40383,Low Income,3
52674,40383,Very Low Income,1
52674,40225,Low Income,13
52674,40225,Other,1
52674,40059,Low Income,4
52693,18971,Low Income,8
52693,23979,Low Income,6
52693,23979,Other,1
52701,127575,Low Income,128
52701,127575,Very Low Income,87
52721,109441,Extremely Low Income,51
52721,109441,Low Income,1
52721,109441,Moderate Income,1
52721,109441,Other,1
52721,109441,Very Low Income,3
52721,109440,Extremely Low Income,24
52721,109440,Low Income,1
52721,109440,Very Low Income,2
52721,78256,Extremely Low Income,51
52721,78256,Low Income,9
52721,78256,Moderate Income,1
52721,78256,Other,1
52721,78256,Very Low Income,8
52721,78260,Extremely Low Income,41
52721,78260,Low Income,1
52721,78260,Other,1
52721,78260,Very Low Income,5
52721,78268,Extremely Low Income,33
52721,78268,Low Income,2
52721,78268,Moderate Income,1
52721,78268,Other,1
52721,78268,Very Low Income,5
52721,56810,Extremely Low Income,41
52721,56810,Low Income,2
52721,56810,Very Low Income,11
52721,65117,Extremely Low Income,29
52721,65117,Low Income,3
52721,65117,Very Low Income,2
52721,97703,Extremely Low Income,9
52721,97703,Low Income,2
52721,97703,Moderate Income,2
52721,97703,Very Low Income,3
52721,97364,Extremely Low Income,34
52721,97364,Low Income,2
52721,97364,Moderate Income,1
52721,97364,Very Low Income,6
52721,97700,Extremely Low Income,20
52721,97700,Low Income,3
52721,97700,Other,1
52721,97700,Very Low Income,6
52721,806549,Extremely Low Income,38
52721,806549,Low Income,5
52721,806549,Moderate Income,1
52721,806549,Other,1
52721,806549,Very Low Income,9
52721,56808,Extremely Low Income,45
52721,56808,Low Income,1
52721,56808,Moderate Income,2
52721,56808,Other,1
52721,56808,Very Low Income,5
52721,109442,Extremely Low Income,38
52721,109442,Other,1
52721,109442,Very Low Income,2
52721,82104,Extremely Low Income,35
52721,82104,Low Income,3
52721,82104,Other,1
52721,82104,Very Low Income,4
52721,64864,Extremely Low Income,33
52721,64864,Low Income,2
52721,64864,Other,1
52721,64753,Extremely Low Income,6
52721,64753,Very Low Income,1
52721,65116,Extremely Low Income,17
52721,65116,Low Income,2
52721,65116,Other,1
52722,958049,Extremely Low Income,5
52722,958049,Low Income,27
52722,958049,Other,1
52722,958049,Very Low Income,25
52722,975847,Extremely Low Income,3
52722,975847,Low Income,10
52722,975847,Very Low Income,5
52723,955765,Extremely Low Income,20
52723,955765,Low Income,24
52723,955765,Very Low Income,4
52723,955764,Extremely Low Income,42
52723,955764,Low Income,52
52723,955764,Other,1
52723,955764,Very Low Income,6
52728,42830,Extremely Low Income,5
52728,42830,Low Income,2
52728,42830,Other,1
52728,42830,Very Low Income,7
52728,43021,Extremely Low Income,9
52728,43021,Low Income,4
52728,43021,Other,1
52728,43021,Very Low Income,6
52728,43099,Very Low Income,4
52728,42808,Low Income,2
52728,43027,Extremely Low Income,2
52728,43027,Low Income,5
52728,43027,Very Low Income,7
52733,38846,Low Income,12
52733,42410,Low Income,6
52733,42410,Moderate Income,12
52733,41421,Low Income,3
52733,41421,Moderate Income,11
52733,41421,Other,1
52733,4183,Low Income,9
52733,4183,Moderate Income,18
52733,42097,Low Income,16
52733,42097,Moderate Income,24
52733,42097,Other,1
52733,3583,Low Income,51
52733,3583,Moderate Income,2
52733,3583,Other,1
52733,41419,Low Income,8
52733,41419,Moderate Income,6
52733,41419,Other,1
52733,41409,Low Income,10
52733,41409,Moderate Income,4
52733,41409,Other,1
52733,4189,Low Income,25
52733,4189,Moderate Income,24
52733,3437,Low Income,10
52733,3437,Other,1
52733,4175,Low Income,18
52733,4175,Moderate Income,25
52733,4175,Other,1
52733,941090,Low Income,8
52733,41417,Low Income,3
52733,41417,Moderate Income,7
52733,23452,Low Income,4
52733,42408,Moderate Income,7
52733,23437,Low Income,13
52733,41411,Low Income,2
52733,41411,Moderate Income,8
52733,4173,Low Income,8
52733,4173,Moderate Income,4
52733,7475,Low Income,8
52733,7475,Moderate Income,9
52733,7475,Other,1
52733,41897,Low Income,6
52733,41897,Moderate Income,10
52735,810153,Extremely Low Income,23
52735,810153,Low Income,4
52735,810153,Moderate Income,1
52735,810153,Other,1
52735,810153,Very Low Income,121
52737,130199,Very Low Income,6
52737,208755,Low Income,4
52737,208755,Very Low Income,3
52737,138899,Low Income,3
52737,138899,Moderate Income,1
52737,138899,Very Low Income,4
52737,371080,Low Income,2
52737,371080,Very Low Income,6
52737,216349,Low Income,1
52737,216349,Very Low Income,3
52737,211091,Low Income,4
52737,211091,Very Low Income,1
52737,130217,Low Income,1
52737,130217,Very Low Income,5
52737,365968,Low Income,1
52737,365968,Very Low Income,3
52737,128902,Low Income,4
52737,128902,Very Low Income,3
52737,208752,Low Income,5
52737,208752,Very Low Income,2
52737,132750,Low Income,4
52737,132750,Very Low Income,4
52737,130195,Low Income,1
52737,130195,Other,1
52737,130195,Very Low Income,4
52737,810140,Very Low Income,6
52752,297818,Low Income,3
52752,297818,Very Low Income,1
52752,362510,Low Income,5
52752,380139,Low Income,5
52752,297795,Low Income,5
52752,297795,Very Low Income,1
52752,297807,Low Income,5
52752,297808,Low Income,5
52752,371723,Low Income,9
52752,362512,Low Income,7
52752,297832,Low Income,2
52752,297832,Other,1
52752,297832,Very Low Income,1
52752,301861,Low Income,15
52752,301861,Other,1
52752,380148,Low Income,6
52752,808371,Low Income,8
52752,808371,Very Low Income,4
52752,297804,Low Income,6
52752,382758,Low Income,3
52752,382758,Other,1
52752,382757,Low Income,4
52752,297779,Low Income,4
52752,297779,Very Low Income,3
52752,808368,Low Income,7
52752,808368,Very Low Income,1
52752,383504,Low Income,9
52752,808369,Low Income,4
52757,215387,Low Income,28
52757,215387,Other,1
52757,215387,Very Low Income,3
52757,807747,Low Income,8
52757,387226,Low Income,15
52757,387226,Very Low Income,1
52757,326400,Low Income,13
52757,326400,Very Low Income,3
52757,807748,Low Income,4
52757,807748,Other,1
52757,807748,Very Low Income,2
52757,205657,Low Income,8
52757,809144,Low Income,24
52757,809144,Other,1
52757,809144,Very Low Income,7
52757,807746,Low Income,7
52757,807746,Very Low Income,1
52757,387003,Low Income,13
52757,387003,Very Low Income,3
52757,386987,Low Income,14
52757,386987,Very Low Income,2
52757,387191,Low Income,12
52757,387191,Other,1
52757,387191,Very Low Income,4
52757,332699,Low Income,15
52757,332699,Very Low Income,2
52757,808391,Low Income,15
52757,808391,Other,1
52757,808391,Very Low Income,3
52758,334903,Low Income,3
52758,334903,Very Low Income,3
52758,232319,Low Income,4
52758,232319,Very Low Income,2
52758,380112,Low Income,16
52758,380112,Middle Income,8
52758,380112,Very Low Income,2
52758,314170,Low Income,15
52758,314170,Middle Income,1
52758,334922,Low Income,1
52758,334922,Middle Income,1
52758,334922,Very Low Income,1
52758,314270,Low Income,5
52758,314270,Middle Income,1
52758,330375,Low Income,13
52758,330375,Very Low Income,3
52758,362714,Low Income,11
52758,362714,Middle Income,3
52758,362714,Very Low Income,2
52758,234869,Low Income,20
52758,234869,Middle Income,3
52758,213936,Low Income,2
52758,380683,Low Income,6
52758,313959,Low Income,6
52758,349937,Low Income,6
52758,349937,Very Low Income,10
52758,232317,Low Income,4
52758,232317,Very Low Income,2
52758,379354,Low Income,3
52758,379354,Very Low Income,3
52758,334936,Low Income,4
52758,334936,Very Low Income,2
52758,334901,Low Income,3
52758,334901,Very Low Income,3
52758,287213,Low Income,10
52758,287213,Middle Income,1
52758,287213,Very Low Income,1
52758,185927,Low Income,10
52758,185927,Middle Income,8
52758,334889,Low Income,2
52758,334889,Very Low Income,4
52758,287616,Low Income,12
52758,287616,Middle Income,3
52758,287616,Very Low Income,1
52758,330367,Low Income,2
52758,334886,Low Income,6
52758,334892,Low Income,6
52758,376556,Low Income,6
52758,376556,Middle Income,2
52758,334939,Low Income,5
52758,334939,Very Low Income,1
52758,287624,Low Income,25
52758,287624,Middle Income,3
52758,287624,Very Low Income,4
52758,334915,Low Income,6
52758,334915,Very Low Income,2
52758,287645,Low Income,15
52758,287645,Very Low Income,1
52758,313969,Low Income,4
52758,313969,Middle Income,2
52758,301835,Low Income,12
52758,301835,Middle Income,9
52758,301835,Very Low Income,2
52758,351579,Low Income,16
52758,351579,Middle Income,5
52758,351579,Very Low Income,1
52774,974242,Low Income,90
52774,974242,Middle Income,448
52774,974242,Other,1
52775,974241,Low Income,78
52775,974241,Moderate Income,25
52775,974241,Other,1
52775,974241,Very Low Income,26
52782,958149,Extremely Low Income,8
52782,958149,Low Income,35
52782,958149,Other,1
52782,958149,Very Low Income,16
52783,987083,Extremely Low Income,35
52783,987083,Low Income,64
52783,987083,Other,1
52783,987083,Very Low Income,12
52795,805885,Extremely Low Income,34
52795,805885,Other,1
52798,955842,Low Income,17
52798,955842,Other,1
52798,955842,Very Low Income,118
52816,11115,Not Defined,15
52817,21585,Not Defined,124
52827,51239,Extremely Low Income,2
52827,51239,Low Income,51
52827,51239,Moderate Income,2
52836,228187,Not Defined,105
52836,228187,Other,1
52852,116819,Low Income,25
52852,55755,Low Income,25
52852,111948,Low Income,69
52852,121014,Low Income,37
52852,116820,Low Income,25
52888,116689,Extremely Low Income,1
52888,116689,Low Income,24
52888,116689,Moderate Income,2
52888,116689,Very Low Income,3
52893,976553,Extremely Low Income,27
52893,976553,Low Income,88
52893,976553,Other,1
52893,976553,Very Low Income,19
52937,965899,Extremely Low Income,153
52937,965899,Other,1
52941,97290,Low Income,264
52941,97290,Very Low Income,48
52941,806388,Low Income,264
52941,806388,Very Low Income,48
52941,806181,Low Income,264
52941,806181,Very Low Income,48
52941,806389,Low Income,264
52941,806389,Very Low Income,48
52941,109464,Low Income,264
52941,109464,Very Low Income,48
52941,806390,Low Income,264
52941,806390,Very Low Income,48
52979,966154,Extremely Low Income,45
52979,966154,Low Income,29
52979,966154,Other,1
52985,79168,Extremely Low Income,40
52985,79168,Low Income,3
52985,79168,Very Low Income,9
52986,42869,Extremely Low Income,4
52986,42869,Low Income,2
52986,42869,Very Low Income,14
52986,42862,Extremely Low Income,6
52986,42862,Low Income,3
52986,42862,Very Low Income,11
52986,5738,Extremely Low Income,20
52986,5738,Low Income,1
52986,5738,Other,1
52986,5738,Very Low Income,3
52999,956204,Extremely Low Income,67
52999,956204,Other,1
53010,378861,Extremely Low Income,2
53010,378861,Low Income,1
53010,378861,Moderate Income,5
53011,379344,Low Income,6
53011,219116,Low Income,6
53011,379523,Low Income,19
53011,219111,Low Income,18
53017,972082,Moderate Income,1
53017,972171,Middle Income,2
53017,972185,Moderate Income,1
53017,972127,Moderate Income,1
53017,972111,Moderate Income,1
53017,972097,Moderate Income,1
53017,972192,Moderate Income,1
53017,972188,Moderate Income,1
53017,972099,Moderate Income,1
53017,972195,Moderate Income,1
53017,972186,Moderate Income,1
53017,972071,Moderate Income,1
53017,972149,Middle Income,2
53017,972074,Moderate Income,1
53017,972183,Middle Income,2
53017,972172,Middle Income,2
53017,972124,Moderate Income,1
53017,972131,Moderate Income,1
53017,972210,Moderate Income,1
53017,972088,Moderate Income,1
53017,972138,Middle Income,2
53017,972187,Moderate Income,1
53017,972351,Middle Income,2
53017,972144,Middle Income,2
53017,972193,Moderate Income,1
53017,972125,Moderate Income,1
53017,972190,Moderate Income,1
53017,972142,Middle Income,2
53017,972140,Middle Income,2
53017,972211,Moderate Income,1
53017,972098,Moderate Income,1
53017,972132,Middle Income,2
53017,972084,Moderate Income,1
53017,972203,Moderate Income,1
53017,972109,Moderate Income,1
53017,972083,Moderate Income,1
53017,972129,Moderate Income,1
53017,972123,Moderate Income,1
53017,972202,Moderate Income,1
53017,972128,Moderate Income,1
53017,972119,Moderate Income,1
53017,972143,Middle Income,2
53017,972090,Moderate Income,1
53017,972194,Moderate Income,1
53017,972170,Middle Income,2
53017,972068,Moderate Income,1
53017,972137,Middle Income,2
53017,972136,Middle Income,2
53017,972352,Moderate Income,1
53017,972198,Moderate Income,1
53017,972178,Middle Income,2
53017,972200,Moderate Income,1
53017,972176,Middle Income,2
53017,972089,Moderate Income,1
53017,972078,Moderate Income,1
53017,972141,Middle Income,2
53017,972354,Moderate Income,1
53017,972080,Moderate Income,1
53017,972133,Middle Income,2
53017,972169,Middle Income,2
53017,972208,Moderate Income,1
53017,972197,Moderate Income,1
53017,972117,Moderate Income,1
53017,972209,Moderate Income,1
53017,972118,Moderate Income,1
53017,972177,Middle Income,2
53017,972173,Middle Income,2
53017,972201,Moderate Income,1
53017,972146,Middle Income,2
53017,972207,Moderate Income,1
53017,972081,Moderate Income,1
53017,972353,Moderate Income,1
53017,972189,Moderate Income,1
53017,972139,Middle Income,2
53017,972180,Middle Income,2
53017,972175,Middle Income,2
53017,972087,Moderate Income,1
53017,972130,Moderate Income,1
53017,972073,Moderate Income,1
53017,972179,Middle Income,2
53017,972184,Moderate Income,1
53017,972191,Moderate Income,1
53017,972181,Middle Income,2
53077,23627,Low Income,125
53077,23627,Very Low Income,36
53157,376867,Extremely Low Income,1
53157,376867,Very Low Income,3
53157,226072,Very Low Income,3
53157,339420,Very Low Income,2
53157,398769,Very Low Income,2
53157,327210,Very Low Income,1
53157,337330,Extremely Low Income,1
53157,337330,Very Low Income,4
53157,207557,Extremely Low Income,2
53157,207557,Very Low Income,1
53157,396150,Very Low Income,3
53157,353204,Very Low Income,2
53157,371239,Extremely Low Income,1
53157,371239,Very Low Income,1
53157,398765,Very Low Income,2
53157,344509,Low Income,1
53157,344509,Very Low Income,1
53157,349622,Very Low Income,8
53157,344503,Very Low Income,2
53157,351107,Extremely Low Income,1
53157,351107,Very Low Income,3
53157,338108,Very Low Income,4
53157,338096,Very Low Income,4
53157,219547,Very Low Income,2
53157,371237,Very Low Income,2
53157,301045,Very Low Income,3
53157,350990,Very Low Income,4
53157,327205,Very Low Income,1
53157,321436,Low Income,1
53157,321436,Very Low Income,3
53157,354267,Very Low Income,3
53157,208318,Low Income,2
53157,208318,Very Low Income,7
53157,299935,Extremely Low Income,1
53157,299935,Very Low Income,2
53157,184969,Very Low Income,2
53157,307551,Very Low Income,2
53157,338045,Very Low Income,3
53157,185006,Very Low Income,2
53157,288549,Extremely Low Income,1
53157,288549,Very Low Income,6
53157,385461,Very Low Income,2
53157,338415,Extremely Low Income,1
53157,338415,Very Low Income,1
53157,225768,Very Low Income,4
53157,353157,Very Low Income,3
53157,313062,Very Low Income,2
53157,211277,Very Low Income,4
53157,337374,Very Low Income,2
53157,350995,Very Low Income,2
53157,222365,Extremely Low Income,2
53157,222365,Very Low Income,3
53157,222346,Very Low Income,4
53157,371245,Very Low Income,2
53157,371244,Very Low Income,2
53157,338076,Extremely Low Income,1
53157,338076,Very Low Income,3
53157,211373,Extremely Low Income,1
53157,211373,Very Low Income,1
53157,371205,Extremely Low Income,1
53157,371205,Very Low Income,2
53157,215680,Very Low Income,4
53157,337322,Very Low Income,8
53157,313046,Extremely Low Income,1
53157,313046,Very Low Income,3
53157,310573,Extremely Low Income,1
53157,310573,Very Low Income,3
53157,342349,Extremely Low Income,1
53157,342349,Very Low Income,4
53157,184933,Very Low Income,2
53157,225767,Very Low Income,4
53157,299929,Very Low Income,3
53157,209451,Very Low Income,2
53157,371214,Very Low Income,2
53157,374219,Low Income,1
53157,374219,Very Low Income,4
53157,226070,Very Low Income,3
53157,211318,Very Low Income,3
53157,309651,Extremely Low Income,5
53157,309651,Very Low Income,1
53157,371215,Very Low Income,2
53157,229994,Very Low Income,4
53157,328494,Very Low Income,6
53157,349735,Very Low Income,4
53157,371241,Very Low Income,2
53157,183665,Very Low Income,6
53157,183061,Extremely Low Income,3
53157,183061,Very Low Income,1
53157,313054,Very Low Income,2
53157,328488,Very Low Income,4
53157,289110,Very Low Income,2
53157,369264,Very Low Income,6
53157,288052,Very Low Income,8
53157,211313,Very Low Income,3
53157,313060,Very Low Income,2
53157,398768,Very Low Income,2
53180,977640,Extremely Low Income,8
53180,977640,Low Income,120
53188,45564,Extremely Low Income,16
53188,45564,Other,1
53188,45564,Very Low Income,39
53245,956798,Low Income,132
53245,956798,Other,1
53245,956798,Very Low Income,19
53264,809867,Not Defined,148
53273,958147,Extremely Low Income,11
53273,958147,Low Income,58
53273,958147,Other,1
53273,958147,Very Low Income,32
53277,341076,Low Income,159
53437,64657,Very Low Income,43
53437,45511,Very Low Income,64
53437,45509,Very Low Income,82
53437,806776,Very Low Income,59
53461,967338,Low Income,76
53461,967338,Other,1
53461,967338,Very Low Income,24
53473,74511,Extremely Low Income,100
53473,74511,Other,1
53473,60067,Extremely Low Income,34
53473,60067,Other,1
53551,11564,Very Low Income,12
53551,11998,Very Low Income,14
53580,976828,Extremely Low Income,32
53580,976828,Low Income,124
53580,976828,Other,1
53655,116883,Extremely Low Income,2
53655,116883,Low Income,2
53655,116883,Very Low Income,7
53655,120441,Extremely Low Income,4
53655,120441,Low Income,3
53655,120441,Very Low Income,5
53655,60419,Extremely Low Income,4
53655,60419,Low Income,9
53655,60419,Moderate Income,1
53655,60419,Other,1
53655,60419,Very Low Income,10
53655,64879,Extremely Low Income,2
53655,64879,Low Income,2
53655,64879,Other,1
53655,64879,Very Low Income,4
53655,116887,Extremely Low Income,22
53655,116887,Low Income,23
53655,116887,Moderate Income,1
53655,116887,Other,1
53655,116887,Very Low Income,31
53655,99246,Extremely Low Income,2
53655,99246,Low Income,1
53655,99246,Moderate Income,1
53655,56805,Extremely Low Income,9
53655,56805,Low Income,19
53655,56805,Other,1
53655,56805,Very Low Income,26
53655,56835,Extremely Low Income,3
53655,56835,Low Income,3
53655,56835,Very Low Income,7
53655,65038,Extremely Low Income,4
53655,65038,Low Income,11
53655,65038,Other,1
53655,65038,Very Low Income,6
53655,53832,Extremely Low Income,7
53655,53832,Low Income,17
53655,53832,Moderate Income,5
53655,53832,Other,1
53655,53832,Very Low Income,17
53655,64872,Extremely Low Income,2
53655,64872,Low Income,5
53655,64872,Other,1
53655,64872,Very Low Income,8
53655,60414,Extremely Low Income,1
53655,60414,Low Income,4
53655,60414,Very Low Income,4
53680,985795,Extremely Low Income,2
53680,985795,Low Income,3
53680,985795,Very Low Income,3
53680,985151,Low Income,8
53680,985166,Extremely Low Income,2
53680,985166,Low Income,3
53680,985166,Very Low Income,3
53680,985162,Low Income,8
53680,985163,Extremely Low Income,2
53680,985163,Low Income,3
53680,985163,Very Low Income,3
53680,985164,Low Income,8
53680,985160,Low Income,8
53680,985792,Low Income,8
53680,985158,Extremely Low Income,3
53680,985158,Low Income,3
53680,985158,Very Low Income,2
53680,985165,Extremely Low Income,2
53680,985165,Low Income,3
53680,985165,Very Low Income,3
53680,985161,Extremely Low Income,2
53680,985161,Low Income,4
53680,985161,Very Low Income,2
53680,985154,Extremely Low Income,2
53680,985154,Low Income,2
53680,985154,Other,1
53680,985154,Very Low Income,3
53680,985794,Low Income,8
53680,985806,Low Income,8
53680,985157,Extremely Low Income,2
53680,985157,Low Income,5
53680,985157,Very Low Income,1
53680,985152,Extremely Low Income,1
53680,985152,Low Income,4
53680,985152,Very Low Income,3
53680,985156,Extremely Low Income,2
53680,985156,Low Income,4
53680,985156,Very Low Income,2
53680,985790,Extremely Low Income,2
53680,985790,Low Income,5
53680,985790,Very Low Income,1
53680,985150,Extremely Low Income,2
53680,985150,Low Income,3
53680,985150,Very Low Income,3
53680,985159,Low Income,8
53680,985168,Extremely Low Income,60
53680,985168,Other,1
53680,985168,Very Low Income,19
54360,979275,Extremely Low Income,2
54360,979275,Low Income,4
54360,979275,Very Low Income,2
54360,979266,Low Income,8
54360,979263,Low Income,8
54360,979276,Low Income,8
54360,979272,Extremely Low Income,2
54360,979272,Low Income,2
54360,979272,Very Low Income,4
54360,979271,Extremely Low Income,1
54360,979271,Low Income,4
54360,979271,Very Low Income,3
54360,979274,Extremely Low Income,2
54360,979274,Low Income,4
54360,979274,Very Low Income,2
54360,979267,Extremely Low Income,2
54360,979267,Low Income,4
54360,979267,Very Low Income,2
54360,979278,Extremely Low Income,2
54360,979278,Low Income,4
54360,979278,Very Low Income,2
54360,979262,Extremely Low Income,3
54360,979262,Low Income,3
54360,979262,Very Low Income,2
54360,979270,Low Income,7
54360,979270,Other,1
54360,979265,Extremely Low Income,2
54360,979265,Low Income,3
54360,979265,Very Low Income,3
54360,979273,Low Income,8
54360,979268,Extremely Low Income,3
54360,979268,Low Income,3
54360,979268,Very Low Income,2
54360,979260,Low Income,8
54360,979264,Extremely Low Income,2
54360,979264,Low Income,3
54360,979264,Very Low Income,3
54360,979277,Extremely Low Income,2
54360,979277,Low Income,4
54360,979277,Very Low Income,2
54360,979261,Extremely Low Income,3
54360,979261,Low Income,3
54360,979261,Very Low Income,2
54360,979259,Extremely Low Income,3
54360,979259,Low Income,4
54360,979259,Very Low Income,1
54360,979269,Extremely Low Income,3
54360,979269,Low Income,3
54360,979269,Very Low Income,2
54377,,Extremely Low Income,1
54377,,Low Income,22
54377,,Moderate Income,8
54377,,Other,1
54377,,Very Low Income,18
54407,108496,Low Income,17
54407,108496,Moderate Income,6
54407,108496,Other,1
54407,108496,Very Low Income,6
54520,975517,Extremely Low Income,65
54520,975517,Low Income,152
54520,975517,Other,1
54577,1007121,Low Income,10
54577,1007121,Moderate Income,5
54577,1007121,Not Applicable,35
54709,41416,Low Income,6
54709,41416,Moderate Income,5
54709,41416,Very Low Income,7
54709,41422,Low Income,5
54709,41422,Moderate Income,5
54709,41422,Very Low Income,8
54709,41418,Low Income,6
54709,41418,Moderate Income,5
54709,41418,Very Low Income,7
54709,41420,Low Income,5
54709,41420,Moderate Income,5
54709,41420,Very Low Income,8
54709,28144,Low Income,53
54709,41907,Low Income,35
54709,41907,Moderate Income,6
54709,41904,Low Income,35
54709,41904,Moderate Income,6
54727,174301,Other,1
54727,174301,Very Low Income,70
54838,573899,Low Income,1
54838,547028,Low Income,1
54838,583605,Low Income,1
54838,698722,Low Income,1
54838,531492,Low Income,1
54838,548243,Low Income,1
54838,702317,Low Income,1
54838,704769,Moderate Income,1
54838,666605,Moderate Income,1
54838,688787,Low Income,1
54838,560017,Low Income,1
54838,548229,Low Income,1
54838,550452,Low Income,1
54838,557243,Low Income,1
54838,639912,Low Income,1
54838,547717,Low Income,1
54838,547748,Low Income,1
54838,689508,Low Income,1
54838,572898,Low Income,1
54838,525119,Low Income,1
54838,548146,Low Income,1
54838,522494,Moderate Income,1
54838,698863,Low Income,1
54838,322293,Moderate Income,3
54842,969555,Low Income,89
54842,969555,Moderate Income,8
54842,969555,Other,1
54842,969555,Very Low Income,25
54909,971874,Extremely Low Income,9
54909,971874,Low Income,60
54909,971874,Other,1
54909,971874,Very Low Income,20
54909,953939,Extremely Low Income,7
54909,953939,Low Income,24
54909,953939,Other,1
54909,953939,Very Low Income,30
54909,972724,Extremely Low Income,8
54909,972724,Low Income,60
54909,972724,Very Low Income,22
54954,967023,Extremely Low Income,15
54954,967023,Low Income,45
54954,967023,Moderate Income,6
54954,967023,Other,1
54954,967023,Very Low Income,8
54984,43339,Extremely Low Income,2
54984,43339,Low Income,5
